œ– √(2), ÏŒÏ	¡œ– √(2), ŒÏ	œ– √(4), ÏŒÏ	¡œ– √(4), ŒÏ	œ– √(5), ÏŒÏ	¡œ– √(5), ŒÏ	œ– √(7), ÏŒÏ	¡œ– √(7), ŒÏ	œ– √(8), ÏŒÏ	¡œ– √(8), ŒÏ	œ– √(10), ÏŒÏ	¡œ– √(10), ŒÏ	œ– √(13), ÏŒÏ	¡œ– √(13), ŒÏ	œ– √(14), ÏŒÏ	¡œ– √(14), ŒÏ	› √(16), ÏÍ¬	“– √(32), ÏŒÏ	
-2.800	64.183	-2.800	8.692	-2.800	12.508	-2.800	94.393	-3.200	82.892	-3.600	72.716	-2.000	25.758	-3.200	108.332	12.986	-2.800	
-2.800	64.183	-1.600	8.692	2.000	12.508	-2.800	94.393	-2.800	82.892	-3.200	72.716	-2.000	25.705	-3.200	108.332	18.551	-2.800	
-2.800	64.183	0.000	8.692	12.000	12.508	-3.200	94.393	-1.600	82.892	-3.200	72.716	-0.800	25.705	-3.600	108.332	40.812	-2.800	
-3.200	64.183	1.200	8.745	20.000	12.508	-3.200	94.393	-0.800	82.892	-3.200	72.716	2.000	25.705	-3.600	108.332	72.349	-2.800	
-3.200	64.183	1.600	8.745	23.600	12.561	-3.200	94.393	-0.800	82.945	-2.800	72.716	5.600	25.705	-2.800	108.279	87.190	-2.800	
-3.600	64.183	0.000	8.745	21.200	12.614	-3.200	94.393	-1.600	82.892	-2.400	72.716	9.200	25.705	-2.000	108.332	79.769	-3.200	
-4.000	64.183	-2.000	8.745	14.800	12.667	-3.600	94.393	-2.000	82.892	-2.000	72.716	12.400	25.705	-1.600	108.332	66.784	-3.600	
-4.400	64.183	-4.400	8.745	7.600	12.667	-3.200	94.393	-1.600	82.945	-1.600	72.716	14.400	25.705	-0.800	108.332	51.943	-3.600	
-4.800	64.183	-5.600	8.745	2.800	12.614	-3.200	94.393	-2.000	82.892	-1.200	72.716	15.600	25.758	-0.400	108.332	40.812	-4.000	
-5.200	64.183	-6.400	8.745	0.800	12.561	-3.200	94.393	-2.400	82.892	-1.200	72.716	16.000	25.758	-0.400	108.332	40.812	-4.000	
-6.000	64.183	-6.800	8.692	0.400	12.508	-3.200	94.393	-3.200	82.892	-0.800	72.716	15.600	25.758	0.000	108.332	40.812	-4.400	
-6.400	64.183	-6.800	8.692	1.200	12.508	-3.200	94.393	-3.200	82.892	-0.400	72.716	14.800	25.758	0.400	108.332	38.957	-4.400	
-6.800	64.183	-6.800	8.692	2.800	12.508	-3.600	94.393	-3.600	82.892	-0.400	72.716	12.800	25.705	0.800	108.332	51.943	-4.800	
-7.200	64.183	-6.400	8.745	4.800	12.508	-3.600	94.393	-4.000	82.892	0.000	72.716	10.800	25.758	0.400	108.332	66.784	-5.200	
-7.600	64.183	-5.600	8.745	6.400	12.561	-3.600	94.393	-4.800	82.892	0.000	72.716	8.800	25.705	-0.400	108.332	70.494	-5.200	
-7.600	64.183	-5.600	8.745	7.200	12.614	-4.000	94.393	-5.200	82.945	0.000	72.716	6.800	25.705	-1.200	108.332	66.784	-5.600	
-8.000	64.183	-5.600	8.745	6.000	12.667	-4.000	94.393	-5.600	82.892	-0.400	72.716	5.200	25.705	-2.000	108.332	55.653	-5.600	
-8.000	64.183	-6.000	8.745	4.800	12.667	-4.800	94.393	-6.000	82.892	-0.400	72.716	4.400	25.705	-2.000	108.332	50.088	-5.600	
-8.400	64.183	-6.000	8.745	4.400	12.614	-5.200	94.393	-6.400	82.945	-0.400	72.716	3.600	25.758	-2.400	108.332	51.943	-6.000	
-8.400	64.183	-6.000	8.745	4.800	12.561	-5.200	94.393	-7.200	82.945	-0.800	72.716	2.400	25.758	-2.800	108.332	57.508	-6.000	
-8.400	64.183	-6.800	8.745	4.800	12.508	-5.600	94.393	-8.400	82.945	-0.800	72.716	2.000	25.758	-3.200	108.332	53.798	-6.000	
-8.400	64.183	-7.600	8.692	4.400	12.508	-5.600	94.393	-9.200	82.892	-0.800	72.716	2.000	25.705	-3.600	108.332	46.378	-6.000	
-8.400	64.183	-8.800	8.745	4.400	12.508	-5.600	94.393	-9.200	82.892	-0.800	72.716	2.800	25.705	-3.600	108.332	40.812	-6.000	
-8.800	64.183	-9.200	8.745	4.800	12.508	-6.000	94.393	-9.600	82.945	-0.800	72.716	3.200	25.705	-3.600	108.332	31.537	-6.000	
-8.800	64.183	-9.600	8.745	6.000	12.561	-6.000	94.393	-10.000	82.945	-0.400	72.716	4.000	25.705	-3.600	108.332	25.971	-5.600	
-9.200	64.183	-10.400	8.745	6.400	12.614	-6.000	94.393	-10.000	82.945	-0.400	72.716	5.600	25.705	-3.600	108.332	29.682	-5.600	
-9.200	64.183	-11.200	8.745	5.600	12.667	-6.000	94.393	-9.600	82.892	-0.400	72.716	6.400	25.705	-4.000	108.332	38.957	-5.200	
-9.600	64.183	-11.600	8.745	4.800	12.667	-6.000	94.393	-8.800	82.892	0.000	72.716	7.200	25.705	-4.400	108.332	42.667	-5.200	
-9.600	64.183	-11.600	8.745	4.800	12.614	-5.600	94.393	-8.800	82.945	0.000	72.716	7.600	25.705	-4.400	108.332	37.102	-5.200	
-10.000	64.183	-11.200	8.745	5.200	12.561	-6.000	94.393	-8.800	82.945	0.000	72.716	7.600	25.705	-4.800	108.332	31.537	-4.800	
-10.000	64.183	-11.200	8.745	5.200	12.508	-6.000	94.393	-9.600	82.945	-0.400	72.716	7.600	25.758	-4.800	108.332	29.682	-4.800	
-10.400	64.183	-11.200	8.692	5.200	12.508	-6.000	94.393	-10.000	82.945	-0.400	72.716	6.800	25.705	-5.200	108.332	29.682	-4.400	
-10.400	64.183	-11.200	8.692	4.800	12.508	-6.000	94.393	-10.400	82.945	-0.800	72.716	6.400	25.705	-5.600	108.332	31.537	-4.400	
-10.800	64.183	-11.200	8.745	4.800	12.508	-6.000	94.393	-11.200	82.945	-1.200	72.716	6.800	25.705	-6.000	108.332	24.116	-4.400	
-10.800	64.183	-10.800	8.745	5.200	12.561	-6.000	94.393	-12.000	82.945	-1.200	72.716	7.600	25.705	-6.400	108.332	16.696	-4.400	
-11.200	64.183	-10.400	8.745	5.600	12.614	-6.000	94.393	-12.400	82.945	-1.200	72.716	8.000	25.705	-6.400	108.332	25.971	-4.000	
-11.200	64.183	-10.400	8.745	5.200	12.667	-6.000	94.393	-12.400	82.945	-1.200	72.716	8.000	25.705	-6.800	108.332	42.667	-4.000	
-11.600	64.183	-10.800	8.745	4.800	12.667	-6.000	94.393	-12.000	82.945	-1.200	72.716	8.000	25.705	-6.800	108.332	46.378	-4.000	
-11.600	64.183	-10.400	8.745	5.600	12.614	-6.400	94.393	-11.600	82.945	-1.200	72.716	8.000	25.705	-7.200	108.332	44.522	-4.000	
-12.000	64.183	-10.000	8.745	6.400	12.561	-6.400	94.393	-11.200	82.892	-1.200	72.716	8.400	25.705	-7.600	108.332	44.522	-3.600	
-12.400	64.183	-9.600	8.745	6.000	12.508	-6.800	94.393	-10.400	82.945	-1.200	72.716	8.800	25.705	-8.000	108.332	42.667	-3.600	
